"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Ind[1]",0.0113333333333333,0.105870794354509,0,0,0,0,0,1.0025833506139,3000
"Ind[2]",0.097,0.296007105886968,0,0,0,0,1,1.00401767272818,1300
"Ind[3]",0.816333333333333,0.387276666774239,0,1,1,1,1,1.00871126418009,360
"Ind[4]",0.854333333333333,0.35283053347276,0,1,1,1,1,1.04157609905658,96
"Ind[5]",0.029,0.16783441084341,0,0,0,0,1,1.00968668266297,1700
"Ind[6]",0.052,0.222064039139974,0,0,0,0,1,1.00285450769743,3000
"Ind[7]",0.0116666666666667,0.107398325665134,0,0,0,0,0,1.024094177256,1700
"Ind[8]",0.0326666666666667,0.177792272759457,0,0,0,0,1,1.00913197228059,1600
"Ind[9]",0.146333333333333,0.353498999625837,0,0,0,0,1,1.00357567690193,980
"Ind[10]",0.015,0.121572721620494,0,0,0,0,0,1.01150828755685,2800
"Ind[11]",0.069,0.253496390783077,0,0,0,0,1,1.00123453258349,3000
"Ind[12]",0.079,0.269783730211866,0,0,0,0,1,1.00129252376904,3000
"Ind[13]",0.998,0.0446840637720548,1,1,1,1,1,1.03888536608631,3000
"Ind[14]",0.998666666666667,0.0364965690909071,1,1,1,1,1,1.16593891546588,1700
"Ind[15]",0.993,0.0833865563061029,1,1,1,1,1,1.06519984400095,990
"Ind[16]",0.509333333333333,0.499996220948262,0,0,1,1,1,1.00106474023898,3000
"Ind[17]",0.375,0.484203625606366,0,0,0,1,1,1.00155709890636,1900
"Ind[18]",0.073,0.260179869554712,0,0,0,0,1,1.03807897832874,190
"Ind[19]",0.52,0.499683127334295,0,0,1,1,1,1.00253890189478,980
"Ind[20]",0.05,0.217981280418459,0,0,0,0,1,1.01047899598781,940
"Ind[21]",0.172333333333333,0.377732863623191,0,0,0,0,1,1.0017956069687,1500
"Ind[22]",0.381333333333333,0.485795108920938,0,0,0,1,1,1.00234388715605,1100
"Ind[23]",0.0733333333333333,0.260726321955691,0,0,0,0,1,1.0103762898873,670
"Ind[24]",0.578,0.493960861247273,0,0,1,1,1,1.00138426235932,2300
"Ind[25]",0.0566666666666667,0.231243118850185,0,0,0,0,1,1.01342834028501,670
"Ind[26]",0.184,0.387548790074526,0,0,0,0,1,1.0022654327534,1200
"TauM[1]",144.517509299186,110.278871226469,7.04124169566037,64.6683359561399,121.480830310594,197.074696098044,419.464469954191,1.01450005637072,300
"TauM[2]",0.144517509299186,0.110278871226469,0.00704124169566036,0.0646683359561399,0.121480830310594,0.197074696098044,0.419464469954191,1.01450005637072,300
"alpha",-1.73133271475531,2.75323922079693,-9.41488420311911,-1.83803084582276,-0.939820175598198,-0.346127746663241,0.971078511125743,1.00283423774143,3000
"beta[1]",0.0198145322929923,0.0651530456603776,-0.107622567669764,-0.0235821595552142,0.0197626093906658,0.0639412726085231,0.149692920318054,1.00361676572949,640
"beta[2]",-0.127930450212387,0.202936319000137,-0.708150149939101,-0.180056254527437,-0.0712784424298303,-0.00658647011327405,0.121420851394164,1.00248614353336,1900
"beta[3]",-0.793694205877609,0.303860713954962,-1.29238664283352,-1.00491768744288,-0.833640161034349,-0.638831930004136,-0.0864776878672563,1.00227967899992,1100
"beta[4]",1.49757285279778,0.709550888182995,0.0140569993167708,1.12886612223158,1.59282939030352,1.97782052666306,2.70474374484716,1.01741143390397,130
"beta[5]",0.0587164481946548,0.119724566657928,-0.135993951720307,-0.0127050324629659,0.0445882672787401,0.11321686764376,0.350267459991112,1.00523966206243,1700
"beta[6]",-0.108026091491317,0.11089302261462,-0.370865794195226,-0.16021194867921,-0.0970288560183244,-0.0441047142964603,0.071711372618742,1.00534229281057,3000
"beta[7]",-0.00273735599257592,0.0978144690129522,-0.171151603770071,-0.0505506453025745,-0.00493528266152429,0.040136839318983,0.200139723764173,1.00554897728318,3000
"beta[8]",0.101188821802367,0.099480925288676,-0.0626204865273762,0.0476769158674317,0.0930087118615368,0.146372635713693,0.313322986637136,1.00319393050692,3000
"beta[9]",-0.397457667065184,1.64667544594909,-4.64553228962642,-0.114519152196176,-0.018430539521907,0.050291572598238,0.328299098003937,1.03722183379589,840
"beta[10]",-0.0344542100236564,0.100142157645074,-0.268949869661407,-0.0877602986478019,-0.0265504517741782,0.0274266446829147,0.149741351624456,1.00106849988878,3000
"beta[11]",-0.126227135597245,0.126279131770495,-0.446103316675056,-0.187208984980725,-0.100949291921176,-0.040170771912703,0.0558656686937112,1.00520890242247,560
"beta[12]",0.0840516154832705,0.342248157562093,-0.226072010311935,-0.0481345316073703,0.0172981079557097,0.0958210697789656,1.28288510780514,1.00519552368809,3000
"beta[13]",2.78165557726063,0.509101333370683,1.92408256654594,2.38249888519582,2.74568157176952,3.16360628881143,3.79560126451014,1.00376099734138,620
"beta[14]",2.5707376473144,0.488861378616844,1.81245077955609,2.16841624248262,2.50347180784215,2.94110847870111,3.56325915710393,1.0023953053907,1100
"beta[15]",1.93789647968299,0.477283406907744,1.21209948669954,1.54049212931746,1.86342201432245,2.30369097691061,2.89686531532796,1.00446393701914,510
"beta[16]",0.590911482223567,0.539699009260421,-0.0666780230591269,0.0807339209452041,0.514910190440808,1.03953951418838,1.63634246678138,1.00258587492265,960
"beta[17]",0.504955811779532,0.848239042221511,-0.316507952497954,-0.00861710245181308,0.119239747581065,1.09043160342708,2.16705492777299,1.00181802612662,1700
"beta[18]",0.090467765062131,0.489705668980182,-0.23400307526492,-0.0376545351568224,0.0251370060243521,0.101840745314024,1.04000118881578,1.04640885323716,820
"beta[19]",-1.37231311696021,1.63839705770085,-3.79173485350364,-2.82545833949436,-0.441284888374172,0.000438738055046184,0.313649154736229,1.00320201149636,1700
"beta[20]",0.00777146583827883,0.304661134648328,-0.363359480953378,-0.0569617083006873,0.0069956276897597,0.0742462403170536,0.411929384256437,1.03913522418822,1100
"beta[21]",0.481842432786086,1.96975159505105,-0.842750366724756,-0.0521831288978684,0.0188731249989029,0.109825153563194,6.53737157717078,1.0181194435183,1200
"beta[22]",0.532459586572511,0.907124585989659,-0.254194802276095,-0.0057531508545925,0.105347676391296,1.17680904569992,2.3718554366466,1.00156473441786,3000
"beta[23]",0.0974682628407824,0.499019851998921,-0.227472136758037,-0.0369834905288652,0.0282303021152158,0.106816521346614,0.997556486985198,1.01622493456151,1000
"beta[24]",-1.66327603886369,1.80483554132394,-4.17015809486718,-3.18815725157875,-2.18695050828275,-0.0104833835408701,0.361196592341635,1.00284468351619,1600
"beta[25]",-0.0322685391659381,0.36987644367483,-0.895487789829803,-0.0584924304003436,0.00920201048252017,0.0730202010552308,0.301911442269815,1.07601831632285,340
"beta[26]",0.525976189641739,2.01082340916532,-0.846744123724107,-0.0606326256975901,0.0195636369856479,0.117797574046167,6.52972669084433,1.00448596515382,3000
"deviance",9082.32546989895,8.80129824192369,9067.30366262936,9076.05522635324,9081.61408990788,9087.71224817214,9101.14107921682,1.00058666189183,3000
"sdBeta",3.67539372412878,2.66879129947698,1.54401818042338,2.2526025283612,2.86910289834709,3.93236803393362,11.9172314478042,1.01450005637072,300
"tauBeta",0.144517509299186,0.110278871226469,0.00704124169566036,0.0646683359561399,0.121480830310594,0.197074696098044,0.419464469954191,1.01450005637072,300
