, mean ,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
Ind[1], 0.059 ,0.23566398,0,0,0.00E+00,0,1,1.005459,1500
Ind[2], 0.434 ,0.49566297,0,0,0.00E+00,1,1,1.00161,1800
Ind[3], 0.992 ,0.08909908,1,1,1.00E+00,1,1,1.017523,3000
Ind[4], 0.984 ,0.12677505,1,1,1.00E+00,1,1,1.138854,180
Ind[5], 0.187 ,0.38997653,0,0,0.00E+00,0,1,1.001459,2100
Ind[6], 0.289 ,0.45352852,0,0,0.00E+00,1,1,1.000862,3000
Ind[7], 0.100 ,0.29960498,0,0,0.00E+00,0,1,1.001911,2300
Ind[8], 0.185 ,0.38863252,0,0,0.00E+00,0,1,1.000645,3000
Ind[9], 0.495 ,0.50006157,0,0,0.00E+00,1,1,1.002018,1300
Ind[10], 0.103 ,0.30400955,0,0,0.00E+00,0,1,1.000808,3000
Ind[11], 0.337 ,0.47287852,0,0,0.00E+00,1,1,1.000535,3000
Ind[12], 0.438 ,0.49622382,0,0,0.00E+00,1,1,1.005406,410
Ind[13], 1.000 ,0,1,1,1.00E+00,1,1,1,1
Ind[14], 1.000 ,0,1,1,1.00E+00,1,1,1,1
Ind[15], 1.000 ,0,1,1,1.00E+00,1,1,1,1
Ind[16], 0.822 ,0.38257651,0,1,1.00E+00,1,1,1.001332,2400
Ind[17], 0.563 ,0.49614004,0,0,1.00E+00,1,1,1.001955,1400
Ind[18], 0.409 ,0.4916694,0,0,0.00E+00,1,1,1.00209,1300
Ind[19], 0.724 ,0.4470913,0,0,1.00E+00,1,1,1.001323,2400
Ind[20], 0.354 ,0.47839054,0,0,0.00E+00,1,1,1.000814,3000
Ind[21], 0.510 ,0.49997655,0,0,1.00E+00,1,1,1.004403,510
Ind[22], 0.516 ,0.49982725,0,0,1.00E+00,1,1,1.000602,3000
Ind[23], 0.410 ,0.4919153,0,0,0.00E+00,1,1,1.001127,3000
Ind[24], 0.667 ,0.47148311,0,0,1.00E+00,1,1,1.000679,3000
Ind[25], 0.352 ,0.47777677,0,0,0.00E+00,1,1,1.001008,3000
Ind[26], 0.541 ,0.49839924,0,0,1.00E+00,1,1,1.001742,1600
TauM[1], 243.946 ,143.7340684,55.0058105,139.8332,2.16E+02,313.0113552,621.9077165,1.009207,360
TauM[2], 0.244 ,0.14373407,0.05500581,0.1398332,2.16E-01,0.31301136,0.62190772,1.009207,360
alpha,-2.367 ,2.46815457,-8.38962231,-3.65926257,-1.84E+00,-0.81843014,1.5569919,1.002683,2100
beta[1], 0.010 ,0.05919376,-0.10690848,-0.02816663,8.97E-03,0.04433839,0.13501726,1.001006,3000
beta[2],-0.257 ,0.30813647,-0.97789854,-0.48467921,-1.19E-01,-0.02443335,0.08714546,1.001359,2300
beta[3],-0.890 ,0.22873374,-1.337825,-1.04190183,-8.93E-01,-0.7462866,-0.44165624,1.000807,3000
beta[4], 1.667 ,0.53844087,0.48840367,1.34246505,1.68E+00,2.02787216,2.6765195,1.004247,1200
beta[5], 0.072 ,0.15748504,-0.12345693,-0.01756906,3.43E-02,0.10415209,0.53834442,1.000801,3000
beta[6],-0.126 ,0.17249664,-0.42108793,-0.18823093,-9.34E-02,-0.039518,0.0519274,1.017864,3000
