"","Porcentaje_Sustituciones","porc_Rechazos","porc_NE","porc_Aptos","Casillas_x_CAE_escaladas","A1","B1","C1","Rural1","Urbana1","porc_m_mesas","porc_sin_e_mesas","porc_prim_mesas","porc_sec_mesas","porc_bach_mesas","porc_lic_mesas","edad_min_escalada_X_edo","edad_max_escalada_X_edo","edad_promedio_escalada_X_edo","edad_rango_escalada_X_edo","ciudadanos_antemesas_escalada_X_edo","edad_min_escalada_Nacional","edad_max_escalada_Nacional","edad_promedio_escalada_Nacional","edad_rango_escalada_Nacional","ciudadanos_antemesas_escalada_Nacional","Ausentismo2","Llave.Casilla","NOMBRE_ESTADO.x","iD_ESTADO.x","ID_DISTRITO.x","SECCION","ID_CASILLA","TIPO_CASILLA","EXT_CONTIGUA"
"1",0.222222222,0.260869565,0.217391304,0.202898551,0.714285714,0,1,0,0,1,0.666666667,0,0,0,0.444444444,0.444444444,0.42,0.897435897,0.844827586,0.844827586,1,0.381818182,0.897435897,0.765625,0.844827586,1,0,"9-DISTRITO FEDERAL-1-1075-B","DISTRITO FEDERAL",9,1,1075,1,"B",0
"7",0.111111111,0.094076655,0.337979094,0.222996516,0.857142857,0,0,1,0,1,0.888888889,0,0.333333333,0.444444444,0.111111111,0.111111111,0.48,0.756410256,0.724137931,0.603448276,1,0.436363636,0.756410256,0.65625,0.603448276,1,0,"9-DISTRITO FEDERAL-1-821-C2","DISTRITO FEDERAL",9,1,821,2,"C",0
"8",0.666666667,0.258426966,0.43071161,0.179775281,0.857142857,0,0,1,0,1,0.666666667,0,0.111111111,0.444444444,0.333333333,0.111111111,0.54,0.884615385,0.706896552,0.724137931,1,0.490909091,0.884615385,0.640625,0.724137931,1,1,"9-DISTRITO FEDERAL-1-822-B","DISTRITO FEDERAL",9,1,822,1,"B",0
"9",0.222222222,0.258426966,0.43071161,0.179775281,0.857142857,0,0,1,0,1,0.555555556,0,0.111111111,0.333333333,0.444444444,0.111111111,0.36,0.653846154,0.586206897,0.568965517,1,0.327272727,0.653846154,0.53125,0.568965517,1,0,"9-DISTRITO FEDERAL-1-822-C1","DISTRITO FEDERAL",9,1,822,1,"C",0
"10",0.444444444,0.258426966,0.43071161,0.179775281,0.857142857,0,0,1,0,1,0.555555556,0,0.222222222,0.555555556,0.222222222,0,0.4,0.564102564,0.534482759,0.413793103,1,0.363636364,0.564102564,0.484375,0.413793103,1,1,"9-DISTRITO FEDERAL-1-822-C2","DISTRITO FEDERAL",9,1,822,2,"C",0
"11",0.111111111,0.133603239,0.36437247,0.238866397,0.857142857,0,1,0,0,1,0.666666667,0,0.222222222,0.222222222,0.333333333,0.222222222,0.4,0.833333333,0.620689655,0.775862069,1,0.363636364,0.833333333,0.5625,0.775862069,1,1,"9-DISTRITO FEDERAL-1-823-B","DISTRITO FEDERAL",9,1,823,1,"B",0
"12",0.777777778,0.133603239,0.36437247,0.238866397,0.857142857,0,1,0,0,1,0.444444444,0,0.111111111,0,0.666666667,0.222222222,0.4,0.858974359,0.568965517,0.810344828,1,0.363636364,0.858974359,0.515625,0.810344828,1,1,"9-DISTRITO FEDERAL-1-823-C1","DISTRITO FEDERAL",9,1,823,1,"C",0
"13",0.111111111,0.133603239,0.36437247,0.238866397,0.857142857,0,1,0,0,1,0.222222222,0,0.333333333,0.333333333,0.222222222,0.111111111,0.5,0.782051282,0.689655172,0.620689655,1,0.454545455,0.782051282,0.625,0.620689655,1,1,"9-DISTRITO FEDERAL-1-823-C2","DISTRITO FEDERAL",9,1,823,2,"C",0
"15",0.333333333,0.144736842,0.496710526,0.217105263,0.857142857,0,0,1,0,1,0.555555556,0,0.222222222,0.333333333,0.333333333,0.111111111,0.38,0.615384615,0.551724138,0.5,1,0.345454545,0.615384615,0.5,0.5,1,1,"9-DISTRITO FEDERAL-1-824-C1","DISTRITO FEDERAL",9,1,824,1,"C",0
"16",0.222222222,0.144736842,0.496710526,0.217105263,0.857142857,0,1,0,0,1,0.666666667,0,0.444444444,0.222222222,0.111111111,0.222222222,0.36,0.846153846,0.655172414,0.827586207,1,0.327272727,0.846153846,0.59375,0.827586207,1,1,"9-DISTRITO FEDERAL-1-824-C2","DISTRITO FEDERAL",9,1,824,2,"C",0
