,Porcentaje_Sustituciones,porc_Rechazos,porc_NE,porc_Aptos,Casillas_x_CAE_escaladas,A1,B1,C1,Rural1,Urbana1,porc_m_mesas,porc_sin_e_mesas,porc_prim_mesas,porc_sec_mesas,porc_bach_mesas,porc_lic_mesas,edad_min_escalada_X_edo,edad_max_escalada_X_edo,edad_promedio_escalada_X_edo,edad_rango_escalada_X_edo,ciudadanos_antemesas_escalada_X_edo,edad_min_escalada_Nacional,edad_max_escalada_Nacional,edad_promedio_escalada_Nacional,edad_rango_escalada_Nacional,ciudadanos_antemesas_escalada_Nacional,Ausentismo2,Llave.Casilla,NOMBRE_ESTADO.x,iD_ESTADO.x,ID_DISTRITO.x,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA
2,0.111111111,0.325301205,0.506024096,0.21686747,0.714285714,0,1,0,0,1,0.444444444,0,0,0.111111111,0.333333333,0.555555556,0.4,0.769230769,0.620689655,0.689655172,1,0.363636364,0.769230769,0.5625,0.689655172,1,0,9-DISTRITO FEDERAL-1-1076-B,DISTRITO FEDERAL,9,1,1076,1,B,0
3,0.555555556,0.37804878,0.701219512,0.25,0.857142857,0,0,1,0,1,0.888888889,0,0,0.111111111,0.444444444,0.444444444,0.44,0.666666667,0.637931034,0.517241379,1,0.4,0.666666667,0.578125,0.517241379,1,0,9-DISTRITO FEDERAL-1-1077-B,DISTRITO FEDERAL,9,1,1077,1,B,0
4,0.333333333,0.37804878,0.701219512,0.25,0.857142857,0,1,0,0,1,0.888888889,0,0.111111111,0.111111111,0.444444444,0.333333333,0.4,0.884615385,0.724137931,0.844827586,1,0.363636364,0.884615385,0.65625,0.844827586,1,0,9-DISTRITO FEDERAL-1-1077-C1,DISTRITO FEDERAL,9,1,1077,1,C,0
5,0,0.094076655,0.337979094,0.222996516,0.857142857,0,1,0,0,1,0.666666667,0,0.333333333,0.333333333,0.222222222,0.111111111,0.4,0.653846154,0.620689655,0.534482759,1,0.363636364,0.653846154,0.5625,0.534482759,1,1,9-DISTRITO FEDERAL-1-821-B,DISTRITO FEDERAL,9,1,821,1,B,0
6,0,0.094076655,0.337979094,0.222996516,0.857142857,0,1,0,0,1,0.777777778,0,0.333333333,0.444444444,0.111111111,0.111111111,0.4,0.705128205,0.655172414,0.603448276,1,0.363636364,0.705128205,0.59375,0.603448276,1,0,9-DISTRITO FEDERAL-1-821-C1,DISTRITO FEDERAL,9,1,821,1,C,0
14,0.111111111,0.144736842,0.496710526,0.217105263,0.857142857,0,0,1,0,1,0.555555556,0,0.333333333,0.444444444,0,0.222222222,0.46,0.679487179,0.603448276,0.517241379,1,0.418181818,0.679487179,0.546875,0.517241379,1,0,9-DISTRITO FEDERAL-1-824-B,DISTRITO FEDERAL,9,1,824,1,B,0
18,0.888888889,0.145251397,0.357541899,0.251396648,0.714285714,0,1,0,0,1,0.555555556,0,0.111111111,0.222222222,0.333333333,0.333333333,0.36,0.615384615,0.517241379,0.517241379,1,0.327272727,0.615384615,0.46875,0.517241379,1,1,9-DISTRITO FEDERAL-1-825-B,DISTRITO FEDERAL,9,1,825,1,B,0
24,0.222222222,0.235576923,0.610576923,0.235576923,0.714285714,0,1,0,0,1,0.777777778,0,0.111111111,0.333333333,0.333333333,0.222222222,0.44,0.653846154,0.603448276,0.5,1,0.4,0.653846154,0.546875,0.5,1,1,9-DISTRITO FEDERAL-1-827-C2,DISTRITO FEDERAL,9,1,827,2,C,0
27,0.444444444,0.162561576,0.374384236,0.236453202,0.857142857,0,0,1,0,1,0.777777778,0,0,0.555555556,0.222222222,0.222222222,0.42,0.538461538,0.586206897,0.362068966,1,0.381818182,0.538461538,0.53125,0.362068966,1,0,9-DISTRITO FEDERAL-1-828-B,DISTRITO FEDERAL,9,1,828,1,B,0
28,0.555555556,0.162561576,0.374384236,0.236453202,0.857142857,0,0,1,0,1,0.888888889,0,0.333333333,0.222222222,0.333333333,0.111111111,0.38,0.717948718,0.551724138,0.637931034,1,0.345454545,0.717948718,0.5,0.637931034,1,1,9-DISTRITO FEDERAL-1-828-C1,DISTRITO FEDERAL,9,1,828,1,C,0
